clip,cfg,axis_id,s,a_fork_conf,n_conf,abstain_fork,a_independent_conf,abstain_ind,commit_gain,a_fork_emb,a_ind_emb
655,4.5,class,0.05,0.750000,8,0.0000,0.178571,0.0000,0.695652,0.939071,0.823557
655,4.5,class,0.3,1.000000,8,0.0000,0.178571,0.0000,1.000000,0.946463,0.823557
655,4.5,class,0.6,0.600000,5,0.3750,0.178571,0.0000,0.513043,0.974071,0.823557
655,4.5,class,0.9,1.000000,8,0.0000,0.178571,0.0000,1.000000,0.992257,0.823557
655,4.5,presence,0.05,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.939071,0.823557
655,4.5,presence,0.3,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.946463,0.823557
655,4.5,presence,0.6,0.571429,8,0.0000,1.000000,0.0000,0.000000,0.974071,0.823557
655,4.5,presence,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.992257,0.823557
794,1.0,class,0.05,1.000000,2,0.7500,0.333333,0.6250,1.000000,0.897361,0.756816
794,1.0,class,0.3,0.333333,3,0.6250,0.333333,0.6250,0.000000,0.945327,0.756816
794,1.0,class,0.6,NaN,1,0.8750,0.333333,0.6250,NaN,0.975220,0.756816
794,1.0,class,0.9,1.000000,3,0.6250,0.333333,0.6250,1.000000,0.991565,0.756816
794,1.0,presence,0.05,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.897361,0.756816
794,1.0,presence,0.3,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.945327,0.756816
794,1.0,presence,0.6,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.975220,0.756816
794,1.0,presence,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.991565,0.756816
794,4.5,class,0.05,NaN,1,0.8750,1.000000,0.7500,NaN,0.851386,0.834347
794,4.5,class,0.3,1.000000,2,0.7500,1.000000,0.7500,0.000000,0.911748,0.834347
794,4.5,class,0.6,NaN,1,0.8750,1.000000,0.7500,NaN,0.953354,0.834347
794,4.5,class,0.9,NaN,1,0.8750,1.000000,0.7500,NaN,0.982780,0.834347
794,4.5,presence,0.05,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.851386,0.834347
794,4.5,presence,0.3,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.911748,0.834347
794,4.5,presence,0.6,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.953354,0.834347
794,4.5,presence,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.982780,0.834347
832,1.0,class,0.05,0.250000,8,0.0000,0.000000,0.6250,0.250000,0.802203,0.712620
832,1.0,class,0.3,1.000000,7,0.1250,0.000000,0.6250,1.000000,0.910509,0.712620
832,1.0,class,0.6,1.000000,8,0.0000,0.000000,0.6250,1.000000,0.958088,0.712620
832,1.0,class,0.9,1.000000,8,0.0000,0.000000,0.6250,1.000000,0.987790,0.712620
832,1.0,presence,0.05,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.802203,0.712620
832,1.0,presence,0.3,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.910509,0.712620
832,1.0,presence,0.6,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.958088,0.712620
832,1.0,presence,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.987790,0.712620
832,4.5,class,0.05,1.000000,5,0.3750,0.523810,0.1250,1.000000,0.885209,0.724595
832,4.5,class,0.3,1.000000,7,0.1250,0.523810,0.1250,1.000000,0.925500,0.724595
832,4.5,class,0.6,1.000000,7,0.1250,0.523810,0.1250,1.000000,0.944090,0.724595
832,4.5,class,0.9,1.000000,8,0.0000,0.523810,0.1250,1.000000,0.983665,0.724595
832,4.5,presence,0.05,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.885209,0.724595
832,4.5,presence,0.3,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.925500,0.724595
832,4.5,presence,0.6,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.944090,0.724595
832,4.5,presence,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.983665,0.724595
894,1.0,class,0.05,0.666667,6,0.2500,0.466667,0.2500,0.375000,0.892365,0.821690
894,1.0,class,0.3,0.666667,6,0.2500,0.466667,0.2500,0.375000,0.914937,0.821690
894,1.0,class,0.6,1.000000,7,0.1250,0.466667,0.2500,1.000000,0.943893,0.821690
894,1.0,class,0.9,1.000000,8,0.0000,0.466667,0.2500,1.000000,0.977707,0.821690
894,1.0,presence,0.05,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.892365,0.821690
894,1.0,presence,0.3,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.914937,0.821690
894,1.0,presence,0.6,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.943893,0.821690
894,1.0,presence,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.977707,0.821690
894,4.5,class,0.05,0.333333,3,0.6250,NaN,0.8750,NaN,0.891609,0.891674
894,4.5,class,0.3,1.000000,3,0.6250,NaN,0.8750,NaN,0.930138,0.891674
894,4.5,class,0.6,0.714286,7,0.1250,NaN,0.8750,NaN,0.965507,0.891674
894,4.5,class,0.9,1.000000,7,0.1250,NaN,0.8750,NaN,0.990131,0.891674
894,4.5,presence,0.05,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.891609,0.891674
894,4.5,presence,0.3,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.930138,0.891674
894,4.5,presence,0.6,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.965507,0.891674
894,4.5,presence,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.990131,0.891674
926,1.0,class,0.05,1.000000,6,0.2500,0.464286,0.0000,1.000000,0.957633,0.850083
926,1.0,class,0.3,1.000000,8,0.0000,0.464286,0.0000,1.000000,0.974039,0.850083
926,1.0,class,0.6,1.000000,8,0.0000,0.464286,0.0000,1.000000,0.991676,0.850083
926,1.0,class,0.9,1.000000,8,0.0000,0.464286,0.0000,1.000000,0.996325,0.850083
926,1.0,presence,0.05,0.750000,8,0.0000,1.000000,0.0000,0.000000,0.957633,0.850083
926,1.0,presence,0.3,0.750000,8,0.0000,1.000000,0.0000,0.000000,0.974039,0.850083
926,1.0,presence,0.6,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.991676,0.850083
926,1.0,presence,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.996325,0.850083
926,4.5,class,0.05,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.977409,0.968677
926,4.5,class,0.3,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.987533,0.968677
926,4.5,class,0.6,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.993591,0.968677
926,4.5,class,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.998173,0.968677
926,4.5,presence,0.05,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.977409,0.968677
926,4.5,presence,0.3,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.987533,0.968677
926,4.5,presence,0.6,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.993591,0.968677
926,4.5,presence,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.998173,0.968677
