video_id,base_seed,progress,a_independent,a_fork_confident,commitment_gain,n_forks,n_confident_forks,fork_abstention_rate,fork_majority_label,fork_majority_share
1003,15,0.35,0.09090909090909091,0.3111111111111111,0.24222222222222223,12,10,0.16666666666666663,guns_explosions,0.5
1003,15,0.45,0.09090909090909091,0.6111111111111112,0.5722222222222223,12,9,0.25,guns_explosions,0.7777777777777778
1003,15,0.6,0.09090909090909091,0.3111111111111111,0.24222222222222223,12,10,0.16666666666666663,guns_explosions,0.5
1003,15,0.75,0.09090909090909091,1.0,1.0,12,7,0.41666666666666663,guns_explosions,1.0
1003,15,0.9,0.09090909090909091,1.0,1.0,12,8,0.33333333333333337,guns_explosions,1.0
1003,16,0.05,0.09090909090909091,0.6444444444444445,0.6088888888888889,12,10,0.16666666666666663,impact_friction,0.8
1003,16,0.15,0.09090909090909091,0.5272727272727272,0.4799999999999999,12,11,0.08333333333333337,impact_friction,0.7272727272727273
1003,16,0.25,0.09090909090909091,0.8,0.78,12,10,0.16666666666666663,impact_friction,0.9
1003,16,0.35,0.09090909090909091,1.0,1.0,12,12,0.0,impact_friction,1.0
1003,16,0.45,0.09090909090909091,1.0,1.0,12,11,0.08333333333333337,impact_friction,1.0
1003,16,0.6,0.09090909090909091,1.0,1.0,12,11,0.08333333333333337,impact_friction,1.0
1003,16,0.75,0.09090909090909091,1.0,1.0,12,10,0.16666666666666663,impact_friction,1.0
1003,16,0.9,0.09090909090909091,1.0,1.0,12,12,0.0,impact_friction,1.0
1048,0,0.05,0.6153846153846154,0.75,0.3499999999999999,12,8,0.33333333333333337,guns_explosions,0.875
1048,0,0.15,0.6153846153846154,0.4,0.0,12,5,0.5833333333333333,guns_explosions,0.6
1048,0,0.25,0.6153846153846154,1.0,1.0,12,3,0.75,guns_explosions,1.0
1048,0,0.35,0.6153846153846154,0.6666666666666666,0.13333333333333316,12,6,0.5,guns_explosions,0.8333333333333334
1048,0,0.45,0.6153846153846154,0.5,0.0,12,4,0.6666666666666667,vehicles,0.75
1048,0,0.6,0.6153846153846154,0.4,0.0,12,5,0.5833333333333333,vehicles,0.6
1048,0,0.75,0.6153846153846154,1.0,1.0,12,4,0.6666666666666667,vehicles,1.0
1048,0,0.9,0.6153846153846154,1.0,1.0,12,4,0.6666666666666667,vehicles,1.0
1048,1,0.05,0.6153846153846154,1.0,1.0,12,10,0.16666666666666663,guns_explosions,1.0
1048,1,0.15,0.6153846153846154,1.0,1.0,12,7,0.41666666666666663,guns_explosions,1.0
1048,1,0.25,0.6153846153846154,1.0,1.0,12,12,0.0,guns_explosions,1.0
1048,1,0.35,0.6153846153846154,1.0,1.0,12,11,0.08333333333333337,guns_explosions,1.0
1048,1,0.45,0.6153846153846154,1.0,1.0,12,12,0.0,guns_explosions,1.0
1048,1,0.6,0.6153846153846154,1.0,1.0,12,10,0.16666666666666663,guns_explosions,1.0
1048,1,0.75,0.6153846153846154,1.0,1.0,12,9,0.25,guns_explosions,1.0
1048,1,0.9,0.6153846153846154,1.0,1.0,12,6,0.5,guns_explosions,1.0
1048,2,0.05,0.6153846153846154,1.0,1.0,12,11,0.08333333333333337,guns_explosions,1.0
1048,2,0.15,0.6153846153846154,1.0,1.0,12,11,0.08333333333333337,guns_explosions,1.0
1048,2,0.25,0.6153846153846154,1.0,1.0,12,11,0.08333333333333337,guns_explosions,1.0
1048,2,0.35,0.6153846153846154,1.0,1.0,12,12,0.0,guns_explosions,1.0
1048,2,0.45,0.6153846153846154,1.0,1.0,12,12,0.0,guns_explosions,1.0
